StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,pid,would_vote_1,pre_vote,pre_confident_1,pre_counter,pre_true_false_1,pre_true_false_2,pre_true_false_3,pre_true_false_4,pre_true_false_5,deb_would_vote_1,deb_vote,deb_confident_1,deb_counter,deb_true_false_1,deb_true_false_2,deb_true_false_3,deb_true_false_4,deb_true_false_5,steel_would_vote_1,steel_vote,steel_confident_1,steel_counter,steel_true_false_1,steel_true_false_2,steel_true_false_3,steel_true_false_4,steel_true_false_5,goal
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We care about the quality of our survey data. For us to get the most accurate measures, it is important that you provide thoughtful answers to each question in this survey. Please consider questions thoughtfully. 

Do not rush or 'straight-line'. We see responses. 

Do you commit to providing thoughtful answers to the questions in this survey?",What's your Prolific ID?,"If this ballot was up for vote in your state, how likely would you be to vote on it?

0 is neutral, -50 means definitely would not vote, and +50 means definitely would vote.","Now imagine you were at the ballot box. If this ballot was up for vote in your state, would you more likely vote...","How confident are you in your choice?

0 is not confident at all, and 100 is extremely confident.","When thinking about how you would vote, to what extent did you consider arguments AGAINST your initial position?",Now you're going to answer some TRUE/FALSE questions about this measure. - The proposed amendment would exempt animal feed held by retailers for sale from ad valorem taxation.,"Now you're going to answer some TRUE/FALSE questions about this measure. - The measure applies to all tangible personal property, not just animal feed.",Now you're going to answer some TRUE/FALSE questions about this measure. - Retailers are directly affected by this measure as it would lower their operational costs.,Now you're going to answer some TRUE/FALSE questions about this measure. - A NO vote would change the current taxation system to no longer tax animal feed.,Now you're going to answer some TRUE/FALSE questions about this measure. - The Texas Legislature could set additional requirements for eligibility of tax exemption.,"After reading this debate, if this ballot was up for vote in your state, how likely would you be to vote on it?

0 is neutral, -50 means definitely would not vote, and +50 means definitely would vote.","Now imagine you were at the ballot box. If this ballot was up for vote in your state, would you more likely vote...","How confident are you in your choice?

0 is not confident at all, and 100 is extremely confident.","When thinking about how you would vote, to what extent did you consider arguments AGAINST your initial position?",Now you're going to answer some TRUE/FALSE questions about this measure. - The proposed amendment would exempt animal feed held by retailers for sale from ad valorem taxation.,"Now you're going to answer some TRUE/FALSE questions about this measure. - The measure applies to all tangible personal property, not just animal feed.",Now you're going to answer some TRUE/FALSE questions about this measure. - Retailers are directly affected by this measure as it would lower their operational costs.,Now you're going to answer some TRUE/FALSE questions about this measure. - A NO vote would change the current taxation system to no longer tax animal feed.,Now you're going to answer some TRUE/FALSE questions about this measure. - The Texas Legislature could set additional requirements for eligibility of tax exemption.,"After reading this debate, if this ballot was up for vote in your state, how likely would you be to vote on it?

0 is neutral, -50 means definitely would not vote, and +50 means definitely would vote.","Now imagine you were at the ballot box. If this ballot was up for vote in your state, would you more likely to vote...","How confident are you in your choice?

0 is not confident at all, and 100 is extremely confident.","When thinking about how you would vote, to what extent did you consider arguments AGAINST your initial position?",Now you're going to answer some TRUE/FALSE questions about this measure. - The proposed amendment would exempt animal feed held by retailers for sale from ad valorem taxation.,"Now you're going to answer some TRUE/FALSE questions about this measure. - The measure applies to all tangible personal property, not just animal feed.",Now you're going to answer some TRUE/FALSE questions about this measure. - Retailers are directly affected by this measure as it would lower their operational costs.,Now you're going to answer some TRUE/FALSE questions about this measure. - A NO vote would change the current taxation system to no longer tax animal feed.,Now you're going to answer some TRUE/FALSE questions about this measure. - The Texas Legislature could set additional requirements for eligibility of tax exemption.,Our goal is to use AI to surface useful perspectives on ballot measures to help citizens decide which way they should vote. To what extent did reading these generated viewpoints help you form an opinion? How could we do this better?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1720213534""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID14_TEXT""}"
2025-09-29 14:05:13,2025-09-29 14:10:02,IP Address,75.97.225.229,100,288,True,2025-09-29 14:10:02,R_3feTArxgFuDhaBc,,,,,40.8327,-75.7033,anonymous,EN,"Yes, I will",662fbb4163d7a1695a748636,20,No,85,5,True,False,True,False,False,,,,,,,,,,25,No,85,5,True,False,True,False,True,"I was already pretty set in my vote. I am all for keeping costs low for consumers. Businesses are already treated special by the government and get tax breaks, they don't need another."
2025-09-29 14:08:03,2025-09-29 14:12:49,IP Address,192.228.52.233,100,286,True,2025-09-29 14:12:50,R_1jewj1dN3JxyJlE,,,,,33.9641,-87.9014,anonymous,EN,"Yes, I will",67673cda94b4d0cf1a6a7382,50,Yes,79,2,True,False,True,False,False,50,Yes,100,3,True,False,True,False,False,,,,,,,,,,They were ok
2025-09-29 14:04:39,2025-09-29 14:13:23,IP Address,174.240.146.201,100,524,True,2025-09-29 14:13:24,R_1329qiU1xhgnNqT,,,,,42.294,-83.3146,anonymous,EN,"Yes, I will",670453b0d93209a1e156916d,40,Yes,65,6,True,False,True,False,True,-10,No,30,7 (a great deal),True,False,True,False,True,,,,,,,,,,"It actually removed my opinion, because it seemed like there were so many good points being made on both sides. What it came down to for me was wondering what would actually happen in the real world if either side got their way. What I would like to see is examples of similar things happening in the past for a real-world reference."
2025-09-29 14:06:52,2025-09-29 14:13:30,IP Address,47.227.13.229,100,398,True,2025-09-29 14:13:31,R_3qDAnE755oTnRak,,,,,39.8291,-86.0859,anonymous,EN,"Yes, I will",615773ee084567fea9ab588f,45,Yes,80,6,True,False,True,False,False,,,,,,,,,,45,Yes,80,7 (a great deal),True,False,True,False,False,
2025-09-29 14:06:44,2025-09-29 14:15:06,IP Address,162.228.213.4,100,501,True,2025-09-29 14:15:06,R_6Bl0MV8jk0SgCOI,,,,,33.5443,-84.2338,anonymous,EN,"Yes, I will",65c1101b2b6edf21082420d5,50,Yes,100,1 (not at all),True,False,True,True,True,,,,,,,,,,50,Yes,100,4,True,False,True,False,False,It helps a great deal getting the different viewpoints for the pros and cons.
2025-09-29 14:10:41,2025-09-29 14:18:18,IP Address,35.143.217.163,100,457,True,2025-09-29 14:18:19,R_1qpx6S4NMmHDbfx,,,,,28.4883,-81.4061,anonymous,EN,"Yes, I will",582c71a66ef28c00019a1068,50,Yes,100,3,True,False,True,False,True,,,,,,,,,,50,Yes,90,5,True,False,True,False,True,"I already formed my base opinion before reading the generated viewpoints but they did help to strengthen my viewpoint after reading the Pros comments and seeing how weak the counterpoints were. "
2025-09-29 14:08:12,2025-09-29 14:18:55,IP Address,104.177.72.27,100,643,True,2025-09-29 14:18:56,R_3db0YpA4zMFfx0R,,,,,34.2337,-118.2536,anonymous,EN,"Yes, I will",65fcdebb4bb107ea35f4ab42,19,Yes,84,4,True,False,True,False,True,40,No,96,7 (a great deal),True,False,True,False,True,,,,,,,,,,"Reading these generated viewpoints helped me make a decision and change my original opinion on the matter because I agree that big box retailers will benefit from this more than mom and pops, and could actually wipe them out that way because there will be no competition. I was also swayed by the viewpoint about how taking the tax down takes from serving community purposes. I think the AI simulation did a great job giving me equal perspectives on the issue."
2025-09-29 14:04:33,2025-09-29 14:20:08,IP Address,113.20.53.121,100,935,True,2025-09-29 14:20:09,R_1jP4fd0J54vhTtF,,,,,39.0814,-77.6443,anonymous,EN,"Yes, I will",66cec5a3fdf1fe2c010e9971,37,Yes,90,1 (not at all),True,False,True,False,False,41,Yes,93,5,True,False,True,True,False,,,,,,,,,,"Reading the generated viewpoints helped me see both sides more clearly and form an opinion, but it could be improved by adding fact checks and summaries of key arguments."
2025-09-29 14:10:22,2025-09-29 14:23:12,IP Address,172.59.219.226,100,769,True,2025-09-29 14:23:13,R_5TN7kRXpxf15ZA6,,,,,35.2369,-80.8957,anonymous,EN,"Yes, I will",656c1adbdb298e7230d7b396,50,Yes,71,5,True,False,True,False,False,,,,,,,,,,0,Yes,90,6,True,True,True,False,True,More widespread and more publicly known situations
2025-09-29 14:11:48,2025-09-29 14:24:13,IP Address,24.30.110.30,100,744,True,2025-09-29 14:24:13,R_1KxzLS3SwbR9i9h,,,,,33.9343,-84.6076,anonymous,EN,"Yes, I will",6566d90835fd00183bd5989b,4,Yes,20,2,True,False,True,False,True,,,,,,,,,,4,Yes,10,7 (a great deal),True,False,True,False,False,NO additional feedback.
2025-09-29 14:18:54,2025-09-29 14:24:24,IP Address,50.217.135.2,100,329,True,2025-09-29 14:24:24,R_70HKUDdng331UtH,,,,,38.7493,-77.4719,anonymous,EN,"Yes, I will",678ff81c8c6b56f93355e0bb,50,Yes,100,5,True,False,True,False,True,50,Yes,99,5,True,False,True,False,True,,,,,,,,,,"The arguments were valid, and somewhat persuasive, but not enough to change my opinion on the matter."
2025-09-29 14:09:28,2025-09-29 14:24:25,IP Address,72.87.61.29,100,896,True,2025-09-29 14:24:25,R_5R54FEB90VYklZy,,,,,42.8859,-71.299,anonymous,EN,"Yes, I will",6680de3494e4607dcf95530d,50,Yes,100,5,True,False,True,False,True,,,,,,,,,,50,Yes,100,7 (a great deal),True,False,True,False,True,"I think it was great having the generated viewpoints for both sides and the counter argument to each point right below it. It really helped me to see both sides of the argument. If anything, having some numbers to back up the text would be helpful to support either side of the argument."
2025-09-29 14:09:59,2025-09-29 14:28:07,IP Address,81.161.4.137,100,1087,True,2025-09-29 14:28:08,R_1G5QupkShPkXYKR,,,,,40.7662,-74.0178,anonymous,EN,"Yes, I will",66971a9cabd2bff3e5f60595,50,Yes,95,4,True,False,True,False,True,50,Yes,80,6,True,False,True,False,True,,,,,,,,,,Reading the generated viewpoints helped me consider many perspectives and implications of the ballot measure. It allowed me to weigh the advantages and disadvantages more effectively.
2025-09-29 14:23:14,2025-09-29 14:28:52,IP Address,75.68.104.201,100,338,True,2025-09-29 14:28:53,R_6MwlxRD0Gz7cbSx,,,,,41.6896,-70.1564,anonymous,EN,"Yes, I will",640d43c9451ce148162a7643,39,Yes,82,5,True,False,True,False,True,36,Yes,83,6,True,False,True,False,True,,,,,,,,,,"It helped me to looks at both perspectives which I thought was good "
2025-09-29 14:24:51,2025-09-29 14:31:00,IP Address,172.59.218.108,100,368,True,2025-09-29 14:31:00,R_5dWFbnw5S40VwvX,,,,,35.2369,-80.8957,anonymous,EN,"Yes, I will",676486b5f4d3f4c6181c2a53,31,Yes,79,4,True,False,True,False,True,,,,,,,,,,31,Yes,70,5,True,False,True,False,True,
2025-09-29 14:04:34,2025-09-29 14:32:17,IP Address,68.160.137.87,100,1662,True,2025-09-29 14:32:17,R_1sdaWR0ejl0l6pC,,,,,42.2435,-71.8368,anonymous,EN,"Yes, I will",6646abc0720d1baaa7e0af4c,50,Yes,89,7 (a great deal),True,True,True,False,False,30,Yes,85,6,True,True,True,False,False,,,,,,,,,,"It really helped me to understand the potential downsides of this proposed amendment. I understand the concern about funding for schools and roads - but I think the top 1% can be taxed to pay for this. Also, the roads in the U.S. have always been terrible and car-dependent. I like that there was a counter-argument to each point risen."
2025-09-29 14:22:35,2025-09-29 14:34:42,IP Address,70.105.166.28,100,726,True,2025-09-29 14:34:42,R_6vK99bTeYqVTO93,,,,,39.9769,-74.1601,anonymous,EN,"Yes, I will",67d0a57b0a4981c5e65c3bcc,50,Yes,100,1 (not at all),True,False,True,False,False,,,,,,,,,,50,Yes,100,4,True,False,True,False,False,"I was nice to to read different arguments, though they didn't change my mind, I appreciated being to read them. I think that it is beneficial to have arguments like that."
2025-09-29 14:34:36,2025-09-29 14:39:52,IP Address,98.245.154.128,100,316,True,2025-09-29 14:39:52,R_3n7Q2bQb5HaMjJP,,,,,39.9834,-105.143,anonymous,EN,"Yes, I will",61647de75314468d5cb57f93,32,Yes,36,5,True,False,True,False,True,50,Yes,100,6,True,False,True,False,True,,,,,,,,,,
2025-09-29 14:42:54,2025-09-29 14:48:50,IP Address,98.56.192.10,100,356,True,2025-09-29 14:48:50,R_70DkTwIQ15BVSrh,,,,,38.5569,-121.3627,anonymous,EN,"Yes, I will",66318eecf4b2dd2836d910d8,35,Yes,85,5,True,False,True,False,True,-35,No,95,7 (a great deal),True,False,True,False,True,,,,,,,,,,Seeing both perspectives helped me think of how I would vote based on my personal values.
2025-09-29 14:42:54,2025-09-29 14:52:45,IP Address,199.185.131.107,100,591,True,2025-09-29 14:52:46,R_72JBLjy9mgJyFsA,,,,,44.9427,-93.2871,anonymous,EN,"Yes, I will",670218c2b67aa153fd9164fb,50,Yes,100,7 (a great deal),True,False,True,False,True,,,,,,,,,,50,Yes,100,7 (a great deal),True,False,True,False,True,"These viewpoints did not help me form an opinion.  I am skeptical that you are framing these ballot measures in such a way as to benefit the establishment at the top.  You are claiming you are left vs. right but you should really be doing bottom vs. top.  In other words, you are offering two perspectives when you should actually be offering a perspective that considers that both political parties are corrupt and the little people at the bottom get wrongly pitted against each other which hides many issues that the top does not want the bottom to focus on.  A false choice, if you will.  An either/or when the real fight is top vs bottom."
